ibjjf_name,ibjjf_profile_url,academy,gender,ranking_category,ruleset,points,same_academy_people_ids,same_academy_people_names,academy_known_people_count,signal_type,confidence,publication_policy,evidence
Guilherme Rodrigues Fernandes,https://ibjjf.com/athletes/guilherme-fernandes-936e3b639cc8,AOJ,male,adult,gi,170,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Elijah Amir Dorsey,https://ibjjf.com/athletes/elijah-dorsey,Team Lloyd Irvin,male,adult,gi,153.0,8141; 10638; 13747; 12940; 8128,Aarae Alexander; Angelo Claiborne; Chris Tran; Cory Walker; Donald Achnick,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Team Lloyd Irvin""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Roosevelt Pereira Lima de Sousa,https://ibjjf.com/athletes/roosevelt-souza,Fight Sports,male,adult,gi,148.5,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Lucas Andre Galvão Protasio,https://ibjjf.com/athletes/lucas-protasio,CheckMat,male,adult,gi,142,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Zachary Kaima'alili Kaina-Kokubun,https://ibjjf.com/athletes/zachary-kaina-kokubun,AOJ,male,adult,gi,115,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
João Pedro Silva de Souza,https://ibjjf.com/athletes/joao-souza-348d39cd682f,AOJ,male,adult,gi,113.0,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Marcos Carrozzino,https://ibjjf.com/athletes/marcos-carrozzino,GF Team,male,adult,gi,108.5,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Leonardo Freitas Piratininga Neves,https://ibjjf.com/athletes/leonardo-neves-dfe331cb52ef,GF Team,male,adult,gi,107.5,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Clay Landon Mayfield,https://ibjjf.com/athletes/clay-mayfield,Pedigo Submission Fighting,male,adult,gi,107.0,11359; 11808,Heath Pedigo; Andrew Wiltse,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Pedigo Submission Fighting""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Harry William Loseby,https://ibjjf.com/athletes/harry-loseby,Roger Gracie Academy,male,adult,gi,97.0,6209; 9261,Felipe Mota; Ross Nicholls,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roger Gracie Academy""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Gustavo Umeoka Ogawa,https://ibjjf.com/athletes/gustavo-ogawa,AOJ,male,adult,gi,93,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Leandro Lima de Souza,https://ibjjf.com/athletes/leandro-souza-e6d8bfa7c90c,Lotus Club,male,adult,gi,93.0,14205,Alexandre Manara,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Lotus Club""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Harryson Santana Pereira,https://ibjjf.com/athletes/harryson-pereira,Ataque Duplo,male,adult,gi,92.0,11215,Harryson Pereira,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Ataque Duplo""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Felipe Carlos Oliveira,https://ibjjf.com/athletes/felipe-oliveira-a8bcb6b880f8,GF Team,male,adult,gi,92.0,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Charles S. Adorian,https://ibjjf.com/athletes/charles-adorian,Roger Gracie Academy,male,adult,gi,90.0,6209; 9261,Felipe Mota; Ross Nicholls,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roger Gracie Academy""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Mateus Rodrigues de Souza,https://ibjjf.com/athletes/mateus-souza,AOJ,male,adult,gi,83.5,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Caio Carreira Ramos,https://ibjjf.com/athletes/caio-ramos,GF Team,male,adult,gi,82.5,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Steven Alexander Gomez,https://ibjjf.com/athletes/steven-gomez,AOJ,male,adult,gi,82,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alex Sander Fonseca Massena de Lima,https://ibjjf.com/athletes/alex-lima-a1983594d435,CheckMat,male,adult,gi,81.0,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Igor Nascimento da Costa Feliz,https://ibjjf.com/athletes/igor-feliz,Future School of Jiu-Jitsu,male,adult,gi,77.0,12225,Igor Feliz,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Future School of Jiu-Jitsu""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Gabriel Custódio dos Santos,https://ibjjf.com/athletes/gabriel-santos-8789efb1e5c3,PSLPB Cicero Costha,male,adult,gi,75.5,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Igor Carlos Alves da Silva,https://ibjjf.com/athletes/igor-silva-5bfd73826a3f,Lotus Club,male,adult,gi,73.0,14205,Alexandre Manara,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Lotus Club""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Luca Germinario Ramaci,https://ibjjf.com/athletes/luca-ramaci,AOJ,male,adult,gi,71.0,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Devin Patrick Riley,https://ibjjf.com/athletes/devin-riley,Crazy 88,male,adult,gi,69.0,4411,Julius Park,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Crazy 88""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Julio Souza Arantes,https://ibjjf.com/athletes/julio-arantes-c94c99462a16,Vision,male,adult,gi,66,13577; 12753; 12845,Brigida Carvalho Felipe; Gabriela Pereira; Thalyta Silva,3,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Vision""; o acervo possui 3 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Angelo Paolo Castillejo Sotelo,https://ibjjf.com/athletes/angelo-castillejo,Fight Sports,male,adult,gi,63.0,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Bruno Luis Santanna Caglioni,https://ibjjf.com/athletes/bruno-caglioni,The Match Champ,male,adult,gi,61.5,12201,Maria Eduarda Tozoni,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""The Match Champ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Vinícius Góes Barbosa,https://ibjjf.com/athletes/vinicius-barbosa-4f6292d2bebe,GF Team,male,adult,gi,60.5,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
João Victor Venturi M. C. de Melo,https://ibjjf.com/athletes/joao-melo-cd71fb965adc,GF Team,male,adult,gi,59.5,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Pedro de Azevedo Ferreira Rubim,https://ibjjf.com/athletes/pedro-rubim,GF Team,male,adult,gi,59.0,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Guilherme de Paiva Cordeiro,https://ibjjf.com/athletes/guilherme-cordeiro-53f128e1c117,SAS Team,male,adult,gi,57,9338,Guybson Sa,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""SAS Team""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Victor Hugo Vasconcelos Nascimento,https://ibjjf.com/athletes/victor-nascimento,Nova União,male,adult,gi,55.5,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Gabriel Figueroa de Oliveira,https://ibjjf.com/athletes/gabriel-oliveira-2ba8530121bd,Guigo JJ,male,adult,gi,55,693; 11423; 9483; 11766; 1624,Luiz Guilherme; Meyram Maquine; Eduardo Lopes; Gabriel Costa; Leonardo Arruda,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Guigo JJ""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alexângelo Adriel  Sussuarana de Freitas,https://ibjjf.com/athletes/alexangelo-freitas,PSLPB Cicero Costha,male,adult,gi,53.5,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Lucas Moreira Lorêdo,https://ibjjf.com/athletes/lucas-loredo,GF Team,male,adult,gi,52.0,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Pedro Henrique Takadi Cazarre Nakano,https://ibjjf.com/athletes/pedro-nakano,Fight Sports,male,adult,gi,51,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Jefferson Alves Goteu,https://ibjjf.com/athletes/jefferson-goteu,CheckMat,male,adult,gi,48.5,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Heitor Ferreira M. Senra,https://ibjjf.com/athletes/heitor-senra,Future School of Jiu-Jitsu,male,adult,gi,48,12225,Igor Feliz,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Future School of Jiu-Jitsu""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Daniel Sathler Campos,https://ibjjf.com/athletes/daniel-campos,AOJ,male,adult,gi,48,415; 179; 13326; 12554; 11690,Guilherme Mendes; Rafael Mendes; Hiryu Niwa; Iasmin Casser; Jessa Khan,10,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""AOJ""; o acervo possui 10 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Alex Liscano Filho,https://ibjjf.com/athletes/alex-filho,CheckMat,male,adult,gi,46,419; 338; 875; 963; 405,Leonardo Vieira; Ricardo Vieira; Lucas Leite; Carlos Vieira Holanda; Marco Canha,85,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""CheckMat""; o acervo possui 85 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Estevão Max Nogara,https://ibjjf.com/athletes/estevao-nogara,GF Team,male,adult,gi,44,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Antonio Braga Texeira Neto,https://ibjjf.com/athletes/antonio-neto,Nova União,male,adult,gi,43.5,78; 634; 6756; 4334; 195,Andre Pederneiras; Wendell Alexander; Rodrigo Silva; Andre da Silva; Robson Moura,39,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Nova União""; o acervo possui 39 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Pedro Henrique Segura Veras,https://ibjjf.com/athletes/pedro-veras,PSLPB Cicero Costha,male,adult,gi,43.5,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Hygor Brito da Silva,https://ibjjf.com/athletes/hygor-silva,Lotus Club,male,adult,gi,42,14205,Alexandre Manara,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Lotus Club""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Felipe Porto Schiavon,https://ibjjf.com/athletes/felipe-schiavon,Fight Sports,male,adult,gi,42.0,224; 11384; 12178; 13473; 13031,Roberto Abreu; Andre Porfirio; Joao Costa; Kauane Silva; Lucas Lisboa,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Fight Sports""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
An Thien Vu,https://ibjjf.com/athletes/an-vu,Roberto Traven BJJ,male,adult,gi,42.0,7079,Carlos Farias,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roberto Traven BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Charles Jeffrey Grisafi,https://ibjjf.com/athletes/charles-grisafi,Toronto BJJ,male,adult,gi,38.0,8783,Yacinta Nguyen,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Toronto BJJ""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Oscar Gugala,https://ibjjf.com/athletes/oscar-gugala,Roger Gracie Academy,male,adult,gi,38.0,6209; 9261,Felipe Mota; Ross Nicholls,2,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Roger Gracie Academy""; o acervo possui 2 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Malachi James C. Edmond,https://ibjjf.com/athletes/malachi-edmond,Team Lloyd Irvin,male,adult,gi,37,8141; 10638; 13747; 12940; 8128,Aarae Alexander; Angelo Claiborne; Chris Tran; Cory Walker; Donald Achnick,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Team Lloyd Irvin""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Marlus Salgado de Souza,https://ibjjf.com/athletes/marlus-souza,SAS Team,male,adult,gi,36,9338,Guybson Sa,1,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""SAS Team""; o acervo possui 1 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Lucas Henrique Teixeira Brandieri,https://ibjjf.com/athletes/lucas-brandieri,GF Team,male,adult,gi,36.0,203; 8116; 11917; 2035; 9166,Julio Cesar; Dante Leon; Gabriel Marinho; Vitor Henrique; Alexandre Barauna,50,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""GF Team""; o acervo possui 50 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Angelo Dequan Claiborne,https://ibjjf.com/athletes/angelo-claiborne,Team Lloyd Irvin,male,adult,gi,36.0,8141; 10638; 13747; 12940; 8128,Aarae Alexander; Angelo Claiborne; Chris Tran; Cory Walker; Donald Achnick,12,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""Team Lloyd Irvin""; o acervo possui 12 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
Lucas Vinicius Silva Nascimento,https://ibjjf.com/athletes/lucas-nascimento-d5c802e2b266,PSLPB Cicero Costha,male,adult,gi,35,1155; 13076; 7704; 6151; 13062,Cicero Costha; Francisco Lo; Helton Jose Junior; Hiago George; Leonardo Mario,5,academy_name_overlap_only,research_lead,never_publish_as_lineage_without_direct_source,"O ranking da IBJJF associa o atleta à academia ""PSLPB Cicero Costha""; o acervo possui 5 pessoa(s) com o mesmo nome de academia. Isso não identifica professor nem comprova graduação."
