affiliation_id,person_id,organization_id,relation_type,source_observation_id,start_date,end_date,status,notes,original_sheet,original_row
AFF-V06-P0081-53,P0081,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,57
AFF-V06-P0234-54,P0234,O-V06-CARLSON-GRACIE-TEAM,reported historical affiliation,,,,research material,Reported text: Carlson Gracie Team. Not proof of black belt promotion.,Pessoas,58
AFF-V06-P0326-55,P0326,O-V06-GFTEAM,reported historical affiliation,,,,research material,Reported text: GFTeam. Not proof of black belt promotion.,Pessoas,59
AFF-V06-P0019-56,P0019,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,60
AFF-V06-P0026-57,P0026,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,61
AFF-V06-P0299-58,P0299,O-V06-10TH-PLANET-LONG-BEACH,reported historical affiliation,,,,research material,Reported text: 10th Planet Long Beach. Not proof of black belt promotion.,Pessoas,62
AFF-V06-P0292-59,P0292,O-V06-ROGER-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Roger Gracie Academy / former GB. Not proof of black belt promotion.,Pessoas,63
AFF-V06-P0341-60,P0341,O-V06-CHECKMAT,reported historical affiliation,,,,research material,Reported text: Checkmat. Not proof of black belt promotion.,Pessoas,64
AFF-V06-P0433-61,P0433,O-V06-SIX-BLADES,reported historical affiliation,,,,research material,Reported text: Six Blades. Not proof of black belt promotion.,Pessoas,65
AFF-V06-P0311-62,P0311,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,66
AFF-V06-P0195-63,P0195,O-V06-B-TEAM,reported historical affiliation,,,,research material,Reported text: B-Team / former Absolute MMA. Not proof of black belt promotion.,Pessoas,67
AFF-V06-P0095-64,P0095,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,68
AFF-V06-P0214-65,P0214,O-V06-SIX-BLADES,reported historical affiliation,,,,research material,Reported text: Six Blades. Not proof of black belt promotion.,Pessoas,69
AFF-V06-P0211-66,P0211,O-V06-ROGER-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Roger Gracie Academy. Not proof of black belt promotion.,Pessoas,70
AFF-V06-P0165-67,P0165,O-V06-PROJETO-SOCIAL-LUTANDO-PELO-BEM,reported historical affiliation,,,,research material,Reported text: Projeto Social Lutando Pelo Bem. Not proof of black belt promotion.,Pessoas,71
AFF-V06-P0392-68,P0392,O-V06-RIBEIRO-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Ribeiro Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,72
AFF-V06-P0034-69,P0034,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,73
AFF-V06-P0059-70,P0059,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,74
AFF-V06-P0262-71,P0262,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,75
AFF-V06-P0390-72,P0390,O-V06-RIBEIRO-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Ribeiro Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,76
AFF-V06-P0329-73,P0329,O-V06-GFTEAM,reported historical affiliation,,,,research material,Reported text: GFTeam. Not proof of black belt promotion.,Pessoas,77
AFF-V06-P0149-74,P0149,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,78
AFF-V06-P0049-75,P0049,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,79
AFF-V06-P0008-76,P0008,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / Brasa / Demian Maia Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,80
AFF-V06-P0416-77,P0416,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,81
AFF-V06-P0368-78,P0368,O-V06-PROJETO-SOCIAL-LUTANDO-PELO-BEM,reported historical affiliation,,,,research material,Reported text: Projeto Social Lutando Pelo Bem. Not proof of black belt promotion.,Pessoas,82
AFF-V06-P0152-79,P0152,O-V06-MARCELO-GARCIA-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Marcelo Garcia Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,83
AFF-V06-P0056-80,P0056,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,84
AFF-V06-P0288-81,P0288,O-V06-MELQUI-GALVAO,reported historical affiliation,,,,research material,Reported text: Melqui Galvão. Not proof of black belt promotion.,Pessoas,85
AFF-V06-P0190-82,P0190,O-V06-MARCELO-GARCIA-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Marcelo Garcia Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,86
AFF-V06-P0293-83,P0293,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,87
AFF-V06-P0093-84,P0093,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,88
AFF-V06-P0098-85,P0098,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,89
AFF-V06-P0106-86,P0106,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,90
AFF-V06-P0031-87,P0031,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,91
AFF-V06-P0025-88,P0025,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,92
AFF-V06-P0052-89,P0052,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,93
AFF-V06-P0017-90,P0017,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,94
AFF-V06-P0377-91,P0377,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,95
AFF-V06-P0314-92,P0314,O-V06-ATOS-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Atos Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,96
AFF-V06-P0228-93,P0228,O-V06-AMERICAN-TOP-TEAM,reported historical affiliation,,,,research material,Reported text: American Top Team. Not proof of black belt promotion.,Pessoas,97
AFF-V06-P0295-94,P0295,O-V06-10TH-PLANET-THOUSAND-OAKS,reported historical affiliation,,,,research material,Reported text: 10th Planet Thousand Oaks. Not proof of black belt promotion.,Pessoas,98
AFF-V06-P0222-95,P0222,O-V06-DREAM-ART,reported historical affiliation,,,,research material,Reported text: Dream Art. Not proof of black belt promotion.,Pessoas,99
AFF-V06-P0030-96,P0030,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,100
AFF-V06-P0360-97,P0360,O-V06-BRAZILIAN-TOP-TEAM,reported historical affiliation,,,,research material,Reported text: Brazilian Top Team. Not proof of black belt promotion.,Pessoas,101
AFF-V06-P0080-98,P0080,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,102
AFF-V06-P0032-99,P0032,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,103
AFF-V06-P0058-100,P0058,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,104
AFF-V06-P0287-101,P0287,O-V06-MELQUI-GALVAO,reported historical affiliation,,,,research material,Reported text: Melqui Galvão. Not proof of black belt promotion.,Pessoas,105
AFF-V06-P0230-102,P0230,O-V06-GRACIE-HUMAITA,reported historical affiliation,,,,research material,Reported text: Gracie Humaitá. Not proof of black belt promotion.,Pessoas,106
AFF-V06-P0210-103,P0210,O-V06-ROGER-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Roger Gracie Academy. Not proof of black belt promotion.,Pessoas,107
AFF-V06-P0389-104,P0389,O-V06-SIX-BLADES-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Six Blades Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,108
AFF-V06-P0103-105,P0103,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,109
AFF-V06-P0041-106,P0041,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,110
AFF-V06-P0178-107,P0178,O-V06-FP-TEAM,reported historical affiliation,,,,research material,Reported text: FP Team / Gracie Barra. Not proof of black belt promotion.,Pessoas,111
AFF-V06-P0157-108,P0157,O-V06-TT,reported historical affiliation,,,,research material,Reported text: TT / projeto social. Not proof of black belt promotion.,Pessoas,112
AFF-V06-P0119-109,P0119,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,113
AFF-V06-P0028-110,P0028,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,114
AFF-V06-P0086-111,P0086,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,115
AFF-V06-P0099-112,P0099,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,116
AFF-V06-P0284-113,P0284,O-V06-WALES,reported historical affiliation,,,,research material,Reported text: Wales / independent. Not proof of black belt promotion.,Pessoas,117
AFF-V06-P0064-114,P0064,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,118
AFF-V06-P0111-115,P0111,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,119
AFF-V06-P0395-116,P0395,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,120
AFF-V06-P0176-117,P0176,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / Norte-Nordeste. Not proof of black belt promotion.,Pessoas,121
AFF-V06-P0310-118,P0310,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,122
AFF-V06-P0425-119,P0425,O-V06-RENZO-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Renzo Gracie Academy. Not proof of black belt promotion.,Pessoas,123
AFF-V06-P0007-120,P0007,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,124
AFF-V06-P0336-121,P0336,O-V06-GFTEAM,reported historical affiliation,,,,research material,Reported text: GFTeam. Not proof of black belt promotion.,Pessoas,125
AFF-V06-P0050-122,P0050,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,126
AFF-V06-P0286-123,P0286,O-V06-CIDADE-DE-DEUS,reported historical affiliation,,,,research material,Reported text: Cidade de Deus. Not proof of black belt promotion.,Pessoas,127
AFF-V06-P0349-124,P0349,O-V06-CHECKMAT,reported historical affiliation,,,,research material,Reported text: Checkmat. Not proof of black belt promotion.,Pessoas,128
AFF-V06-P0374-125,P0374,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,129
AFF-V06-P0128-126,P0128,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,130
AFF-V06-P0179-127,P0179,O-V06-FP-TEAM,reported historical affiliation,,,,research material,Reported text: FP Team. Not proof of black belt promotion.,Pessoas,131
AFF-V06-P0130-128,P0130,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,132
AFF-V06-P0055-129,P0055,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,133
AFF-V06-P0335-130,P0335,O-V06-GFTEAM,reported historical affiliation,,,,research material,Reported text: GFTeam. Not proof of black belt promotion.,Pessoas,134
AFF-V06-P0139-131,P0139,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,135
AFF-V06-P0219-132,P0219,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,136
AFF-V06-P0232-133,P0232,O-V06-GRACIE-HUMAITA,reported historical affiliation,,,,research material,Reported text: Gracie Humaitá. Not proof of black belt promotion.,Pessoas,137
AFF-V06-P0275-134,P0275,O-V06-NEW-WAVE,reported historical affiliation,,,,research material,Reported text: New Wave / former DDS. Not proof of black belt promotion.,Pessoas,138
AFF-V06-P0233-135,P0233,O-V06-GRACIE,reported historical affiliation,,,,research material,Reported text: Gracie. Not proof of black belt promotion.,Pessoas,139
AFF-V06-P0306-136,P0306,O-V06-10TH-PLANET-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: 10th Planet Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,140
AFF-V06-P0040-137,P0040,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,141
AFF-V06-P0281-138,P0281,O-V06-AMERICAN-TOP-TEAM,reported historical affiliation,,,,research material,Reported text: American Top Team. Not proof of black belt promotion.,Pessoas,142
AFF-V06-P0250-139,P0250,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance. Not proof of black belt promotion.,Pessoas,143
AFF-V06-P0258-140,P0258,O-V06-ATOS,reported historical affiliation,,,,research material,Reported text: Atos. Not proof of black belt promotion.,Pessoas,144
AFF-V06-P0274-141,P0274,O-V06-NEW-WAVE,reported historical affiliation,,,,research material,Reported text: New Wave. Not proof of black belt promotion.,Pessoas,145
AFF-V06-P0078-142,P0078,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,146
AFF-V06-P0350-143,P0350,O-V06-RENZO-GRACIE-ACADEMY,reported historical affiliation,,,,research material,Reported text: Renzo Gracie Academy. Not proof of black belt promotion.,Pessoas,147
AFF-V06-P0348-144,P0348,O-V06-CHECKMAT,reported historical affiliation,,,,research material,Reported text: Checkmat. Not proof of black belt promotion.,Pessoas,148
AFF-V06-P0180-145,P0180,O-V06-FP-TEAM,reported historical affiliation,,,,research material,Reported text: FP Team. Not proof of black belt promotion.,Pessoas,149
AFF-V06-P0161-146,P0161,O-V06-ART-OF-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Art of Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,150
AFF-V06-P0147-147,P0147,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,151
AFF-V06-P0084-148,P0084,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,152
AFF-V06-P0029-149,P0029,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,153
AFF-V06-P0054-150,P0054,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,154
AFF-V06-P0136-151,P0136,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,155
AFF-V06-P0162-152,P0162,O-V06-ART-OF-JIU-JITSU,reported historical affiliation,,,,research material,Reported text: Art of Jiu-Jitsu. Not proof of black belt promotion.,Pessoas,156
AFF-V06-P0257-153,P0257,O-V06-GRACIE-BARRA,reported historical affiliation,,,,research material,Reported text: Gracie Barra. Not proof of black belt promotion.,Pessoas,157
AFF-V06-P0089-154,P0089,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,158
AFF-V06-P0057-155,P0057,O-V06-ALLIANCE,reported historical affiliation,,,,research material,Reported text: Alliance / vínculo de formação citado por Fábio Gurgel. Not proof of black belt promotion.,Pessoas,159
