source_id,source_name,entity,source_type,url,what_it_proves,access_mode,priority,status,captured_on,notes
SRC-IBJJF-ADULT-BLACK-GI-F-P5,"IBJJF ranking — Adult Black Gi Female, página 5",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi&page=5,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-07-01.
SRC-IBJJF-ADULT-BLACK-GI-F-P6,"IBJJF ranking — Adult Black Gi Female, página 6",IBJJF,ranking oficial,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi&page=6,"Atleta listado no filtro Faixa Preta, Adulto, Gi; equipe e pontos na data da página.",HTML público,1,catalogada,2026-07-05,Última atualização exibida pela página: 2026-06-24.
SRC-IBJJF-CERT,IBJJF — Certified Black Belts,IBJJF,consulta de certificação,https://ibjjf.com/certified-black-belts,"Canal oficial para verificar registro/certificação, quando o perfil individual for localizável.",página JavaScript / consulta direta,1,catalogada,2026-07-05,Não usar como prova de linhagem; requer registro individual ou autorização/integração para coleta em escala.
SRC-CBJJ-CERT-HELP,CBJJ — Certificado de Faixa Preta (regras),CBJJ,regras de certificação,https://help.cbjj.com.br/certificado-faixa-preta/,Distingue certificação de faixa-preta do cadastro de atleta e explica requisitos.,HTML público,1,catalogada,2026-07-05,
SRC-CBJJ-DIPLOMA,CBJJ — Diploma de Faixa Preta,CBJJ,portal de certificação,https://cbjj.com.br/athletes/black-belt-certification,Canal oficial de solicitação/renovação de diploma de faixa-preta.,HTML público,1,catalogada,2026-07-05,
SRC-CBJJ-ACADEMY,CBJJ — Academias Registradas,CBJJ,registro de academia,https://cbjj.com.br/registered-academies,Academias registradas e professores responsáveis faixa-preta no sistema da entidade.,HTML público,2,catalogada,2026-07-05,
SRC-AJP-RANKING,AJP — Ranking Lists,AJP,ranking oficial,https://ajptour.com/en/federation/1/ranking,Descoberta de atletas e ranking AJP / Grand Slam / Gi / No-Gi.,página JavaScript,2,catalogada,2026-07-05,
SRC-AJP-CERT,AJP — Belt Certification Terms & Conditions,AJP,regras de certificação,https://ajptour.com/en/federation/1/ajp-belt-certification-terms-conditions,"Processo de certificado de faixa emitido por treinador, academia ou federação reconhecida.",HTML público,2,catalogada,2026-07-05,
SRC-AJP-ACADEMY,AJP — Accredited Academies,AJP,registro de academias,https://ajptour.com/federation/1/academies,Descoberta de academias registradas/acreditadas.,página JavaScript,3,catalogada,2026-07-05,
SRC-FPJJ-BLACK,FPJJ — Registro de Faixa Preta,FPJJ,registro estadual,https://www.fpjjcompetidor.com.br/registro-atleta-faixa-preta/,Registro paulista exige documentos e assinatura do professor que concedeu a faixa; a entidade publica ativos.,HTML público,1,catalogada,2026-07-05,
SRC-FPJJ-2025-PROF,FPJJ — Graduação de Professores Homologados 2025,FPJJ,lista de professores,https://www.fpjjcompetidor.com.br/dia-do-jiu-jitsu-2025-graduacao-dos-professores-homologado-2-2/,Lista anual de professores registrados/ativos aptos a receber graus.,HTML público,2,catalogada,2026-07-05,
