source_id,source_name,entity,source_type,url,what_it_proves,access_mode,priority,status,captured_on,notes,original_sheet,original_row
S011,Perfil de André Galvão,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/andre-galvao-bjj-and-mma-fighter-wiki,Apoia relações de faixa e mentoria de André Galvão,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,12
S012,"Busca Ramon Lemos / perfis de Rafael, Guilherme e Gustavo",BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/pt-br/?s=ramon+lemos,Apoia Ramon Lemos como professor de Rafael/Guilherme e Gui como professor de Gustavo,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,13
S013,Perfil de Tainan Dalpra,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/tainan-dalpra,Apoia Guilherme Mendes → Tainan; Rafael Mendes como influência técnica,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,14
S014,Perfil de Kaynan Duarte,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/kaynan-duarte,Apoia André Galvão → Kaynan Duarte,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,15
S015,Perfil/arquivo de Leandro Lo,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/tag/barbosinha-jiu-jitsu,Apoia Cícero Costha → Leandro Lo,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,16
S016,Perfis de alunos de Leandro Lo,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/caio-caetano,Apoia Leandro Lo → Caio Caetano; ver perfis individuais para outras relações,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,17
S017,Perfil de João Miyao,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/joao-miyao,Apoia Cícero Costha → João Miyao,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,18
S018,Arquivo de Mica Galvão,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/2021/05,Apoia Melqui Galvão → Mica Galvão,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,19
S019,Perfil de Nathannael Fernandes,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/nathannael-fernandes,Apoia Melqui Galvão → Nathannael Fernandes,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,20
S020,ADCC São Paulo Trials Winners,BJJ Heroes,Imprensa especializada,https://www.bjjheroes.com/bjj-news/adcc-sao-paulo-trials-winners,Apoia Melqui Galvão → Franciele Nascimento,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,21
S021,Perfil de Felipe Pena,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/felipe-pena-preguica,Apoia Marcelo Azevedo → Felipe Pena,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,22
S022,Perfis de alunos de Felipe Pena,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/gabriel-brod,Apoia Felipe Pena → Gabriel Brod; demais perfis devem ter fonte individual,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,23
S023,Perfil de Rodolfo Vieira,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/rodolfo-vieira-bjj-wiki,Apoia Júlio César Pereira → Rodolfo Vieira,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,24
S024,Perfil de Júlio dos Anjos,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/julio-dos-anjos,Apoia Júlio César Pereira → Júlio dos Anjos,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,25
S025,Perfil de Michelle Nicolini,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/michelle-nicolini,Apoia Robert Drysdale → Michelle Nicolini,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,26
S026,Perfil de Bia Mesquita,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/beatriz-mesquita,Apoia Letícia Ribeiro → Bia Mesquita,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,27
S027,Perfil de Dominyka Obelenyte,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/dominyka-obelenyte,Apoia Marcelo Garcia → Dominyka Obelenyte,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,28
S028,Perfil de John Danaher,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/john-danaher,Apoia Renzo Gracie → John Danaher,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,29
S029,Perfil de Lachlan Giles,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/lachlan-giles,Apoia John Simon → Lachlan Giles,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,30
S030,Perfil de Craig Jones,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/jones,Apoia Lachlan Giles → Craig Jones; Danaher como mentor,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,31
S031,Perfil de Nicky Ryan,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/nicky-ryan,Apoia John Danaher → Nicky Ryan,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,32
S032,Perfil de Nicholas Meregali,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/nicholas-meregali,Apoia Mário Reis e Jeferson Adan → Nicholas Meregali,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,33
S033,Perfil de Monique Elias,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/monique-elias,Apoia Mário Reis → Monique Elias,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,34
S034,Perfil de Caio Terra,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/caio-terra,Apoia Paulo Maurício Strauch → Caio Terra,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,35
S035,Perfil de Jansen Gomes,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/jansen-gomes,"Apoia Antônio Bode, Ricardo Vieira e Leonardo Vieira → Jansen Gomes",historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,36
S036,Notícia sobre Yuri Simões,BJJ Heroes,Imprensa especializada,https://www.bjjheroes.com/bjj-news/yuri-simoes-signs-with-one-fc-and-sets-mma-debut,Apoia Ricardo Vieira → Yuri Simões,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,37
S037,Perfis de graduados da Roger Gracie Academy,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/nicolas-gregoriades,Apoia Roger Gracie → Nicolas Gregoriades; usar fontes individuais para demais,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,38
S038,Perfil de Cássio Felipe Costa,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/cassio-felipe-costa,Apoia Xande Ribeiro → Cássio Felipe Costa,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,39
S039,Perfil de Charles Negromonte,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/charles-negromonte,Apoia Zé Radiola → Charles Negromonte,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,40
S040,Perfil de Victor Estima,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/victor-estima,Apoia Carlos Gracie Jr. → Victor Estima,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,41
S041,Perfil de Ulpiano Malachias,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/ulpiano-malachias,Apoia Carlos Gracie Jr. → Ulpiano Malachias,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,42
S042,Arquivo IBJJF Hall of Fame / Gabi Garcia,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/tag/ibjjf-hall-of-fame,Apoia Fábio Gurgel → Gabi Garcia,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,43
S043,Arquivo Alliance / Isaac Doederlein,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/tag/alliance-bjj,Apoia Rubens Cobrinha → Isaac Doederlein,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média; merged duplicate source_id=S044 title=Arquivo Alliance / Jonathan Satava original_row=45; merged duplicate source_id=S045 title=Arquivo Alliance / Mansher Khera original_row=46,Fontes,44
S046,Perfil de Erich Munis,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/erichmunis,Apoia Isaque Bahiense e Gabriel Figueiró → Erich Munis,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,47
S047,Arquivo 2010 / Bernardo Faria,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/2010/04,Apoia Ricardo Marques → Bernardo Faria,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,48
S048,Perfil de Luciana Dias,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/luciana-dias,Apoia Wellington Dias e Royler Gracie → Luciana Dias,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,49
S049,Perfil de Tammi Musumeci,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/tammi-musumeci,Apoia Emyr Bussade → Tammi Musumeci,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,50
S050,Perfil de Paulo Gabriel Martins,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/paulo-gabriel,Apoia Letícia Ribeiro e Fabrício Camões → Paulo Gabriel Martins,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,51
S051,Perfil de Gabrielle McComb,BJJ Heroes,Base biográfica especializada,https://www.bjjheroes.com/bjj-fighters/gabi-mccomb,Apoia Letícia Ribeiro e Fabrício Camões → Gabrielle McComb,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,52
S052,Perfil oficial de André Galvão (Atos On Demand),Atos Jiu-Jitsu,Biografia institucional / plataforma oficial,https://live.atosbjjondemand.com/videos/sparring-andre-galvao-vs-pulga-black,Confirma Luis “Careca” Dagmar → André Galvão,historical workbook,,catalogada,2026-07-05,evidence_tier=A/B; reliability=Alta,Fontes,53
S053,André Galvão promove irmão e recebe grau de Tererê,GracieMag,Imprensa especializada / relato contemporâneo,https://www.graciemag.com/andre-galvao-promove-irmao-a-faixa-preta-de-jiu-jitsu-e-ganha-grau-de-terere/,Confirma Fernando Tererê → André Galvão como mentor desde a roxa e concessor de grau,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,54
S054,Entrevista: Demian Maia aceitaria luta de Jiu-Jitsu,GracieMag,Entrevista jornalística,https://www.graciemag.com/demian-maia-aceitaria-uma-luta-de-jiu-jitsu/,Contextualiza Demian Maia e André Galvão como parceiros de treino,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,55
S055,Perfil oficial de Eddie Bravo — 10th Planet HQ,10th Planet Jiu Jitsu,Biografia institucional,https://www.10thplanetjj.com/locations/downtownla/,Confirma Jean Jacques Machado → Eddie Bravo como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,56
S056,10th Planet Huntsville — Brandon McCaghren,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/huntsville/,Apoia Eddie Bravo → Brandon McCaghren como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,57
S057,10th Planet Thousand Oaks — Eric Ramey,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/thousand-oaks-ca/,Apoia Eddie Bravo → Eric Ramey como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,58
S058,10th Planet Phoenix — John Botello,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/phoenix/,Apoia Eddie Bravo → John Botello como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,59
S059,10th Planet Newark — Jon Borrows,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/newark-ohio/,Apoia Eddie Bravo → Jon Borrows como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,60
S060,10th Planet Grants Pass — Andrew Alexander,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/grants-pass/,Apoia Eddie Bravo → Andrew Alexander como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,61
S061,10th Planet Long Beach — Chai Sirisute,10th Planet Jiu Jitsu,Página institucional de unidade,https://www.10thplanetjj.com/locations/long-beach-ca/,Apoia co-relação Eddie Bravo e Rigan Machado → Chai Sirisute,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,62
S062,Perfil oficial de Jean Jacques Machado,Jean Jacques Machado Association,Biografia institucional,https://jjmachadoassociation.com/about-us/jean-jacques-machado/,Confirma Carlos Gracie Jr. → Jean Jacques Machado,historical workbook,,catalogada,2026-07-05,evidence_tier=A/B; reliability=Muito alta,Fontes,63
S063,Dedé Pederneiras ensina estrangulamento; histórico de graduação,GracieMag,Notícia especializada,https://www.graciemag.com/dede-pederneiras-teaches-a-lapel-choke-when-the-opponent-is-on-all-fours-position/,Corrobora Carlson Gracie → André Pederneiras; apoia alunos formados,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,64
S064,Renan Barão recebe 100ª faixa-preta de André Pederneiras,Combate / ge.globo,Notícia esportiva,https://sportv.globo.com/site/combate/noticia/2011/09/renan-barao-do-ufc-recebe-100-faixa-preta-de-andre-pederneiras.html,Confirma André Pederneiras → Renan Barão,historical workbook,,catalogada,2026-07-05,evidence_tier=A/B; reliability=Alta,Fontes,65
S065,B.J. Penn — perfil de linhagem,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/bj-penn-wiki,Corrobora André Pederneiras → B.J. Penn,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,66
S066,José Aldo — perfil de linhagem,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/jose-aldo,Apoia André Pederneiras → José Aldo como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,67
S067,Vitor Shaolin recebe quinto grau de Dedé Pederneiras,GracieMag,Notícia especializada,https://www.graciemag.com/vitor-shaolin-gets-fifth-degree-to-his-black-belt-from-dede-pederneiras/,Apoia André Pederneiras → Vitor Shaolin Ribeiro,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Alta,Fontes,68
S068,Júlio César Pereira — perfil de linhagem,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/mestre-julio-cezar-pereira,Apoia Oswaldo Fadda → Monir Salomão → Júlio César Pereira,historical workbook,,catalogada,2026-07-05,evidence_tier=C; reliability=Média,Fontes,69
S069,"Monir Salomão, mestre de Júlio César Pereira",BJJ Fanatics Brasil,Artigo especializado,https://bjjfanatics.com.br/blogs/news/monir-salomao,Corrobora Monir Salomão como mestre de Júlio César Pereira,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média,Fontes,70
S070,Gracie Barra no Japão — Ryo Ominami,Gracie Barra,Biografia institucional,https://www.blog.graciebarra.com/post/jiu-jitsu-in-the-land-of-the-rising-sun,Apoia Carlos Gracie Jr. → Ryo Ominami como faixa-preta sob professor,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Muito alta,Fontes,71
S071,Geo Martinez — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/geo-martinez,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,72
S072,Richie Martinez — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/richie-martinez,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,73
S073,Zach Maslany — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/zach-maslany,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,74
S074,10th Planet Berlin — perfil de Ralf Warneking,10th Planet Jiu-Jitsu,Página oficial de academia,https://www.10thplanetjj.com/locations/berlin/,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Alta,Fontes,75
S075,10th Planet Melbourne — perfil do instrutor,10th Planet Jiu-Jitsu,Página oficial de academia,https://www.10thplanetjj.com/locations/melbourne/,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Alta,Fontes,76
S076,10th Planet Jiu-Jitsu — rede oficial,10th Planet Jiu-Jitsu,Rede oficial,https://www.10thplanetjj.com/,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Alta,Fontes,77
S077,Kristian Woodmansee — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/kristian-woodmansee,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,78
S078,Osamah Almarwai — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/osa-almarwai,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,79
S079,Emilly Alves Vasconcelos — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/emilly-alves-vasconcelos,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,80
S080,Nisar Loynab — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/nisar-loynab,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,81
S081,Jhenifer Aquino — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/jhenifer-aquino,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,82
S082,Alehander Mariano — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/alehander-mariano,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,83
S083,Matheus Menezes — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/matheus-menezes,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,84
S084,Rolando Samson — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/rolando-samson,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,85
S085,Atos HQ — Meet the Instructors,Atos Jiu-Jitsu HQ,Página oficial de academia,https://atosjiujitsuhq.com/2019/04/12/meet-the-instructors/,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=A; reliability=Alta,Fontes,86
S086,Sarah Galvão — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/sarah-galvao,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,87
S087,BJJ Heroes 2026 — Maria Alencar,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/2026,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,88
S088,José Carlos Sousa — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/jose-carlos-sousa,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,89
S089,Carol Brunacio — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/caroline-brunacio,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,90
S090,Júlia Alves — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/julia-alves,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,91
S091,Maurício Oliveira Neto — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/mauricio-oliveira,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,92
S092,Davi Cabral — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/davi-cabral,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,93
S093,Israel Sousa — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/israel-sousa,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,94
S094,"GF Team — elenco de atletas, BJJ Heroes",BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/tag/gf-team,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,95
S095,"GFT BJJ — Fábio Coringa, BJJ Heroes",BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/tag/gft-bjj,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,96
S096,Mayssa Bastos — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/mayssa-bastos,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,97
S097,Leonardo Vieira — BJJ Heroes,BJJ Heroes,Perfil especializado,https://www.bjjheroes.com/bjj-fighters/leo-vieira-facts-and-bio,Comprovar a alegação de faixa-preta e/ou vínculo de equipe.,historical workbook,,catalogada,2026-07-05,evidence_tier=B; reliability=Média-alta,Fontes,98
