affiliation_id,person_id,organization_id,relation_type,source_observation_id,start_date,end_date,status,notes
AFF-99A2BE9086B3,P-426893B1D5,O-0BC22BC2AA,equipe reportada em ranking,OBS-0CBF83EB31BE,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-D6F6C5D4C466,P-282F189BB0,O-9B9BE0381F,equipe reportada em ranking,OBS-2C438BC03765,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-627E1D20F74B,P-92B82F7D67,O-8430F11A12,equipe reportada em ranking,OBS-D307655E877E,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-C1EB9A9C9796,P-B00629D7E0,O-2F6AA96F30,equipe reportada em ranking,OBS-458E939CEE7F,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-BA0873D4C453,P-9AB1445D9B,O-20A6B79664,equipe reportada em ranking,OBS-7E48068DE51B,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EF46E149A6D2,P-D93B1468AD,O-D0F7DD1245,equipe reportada em ranking,OBS-79E425DCD821,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-4535EAF57F52,P-B7A5D3B74B,O-56F8E1A921,equipe reportada em ranking,OBS-8C848B6FDA67,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-DAEE7684A90D,P-BD227BC8FF,O-0BC22BC2AA,equipe reportada em ranking,OBS-8EDFA8A924FA,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-2330773D7CD8,P-136B8222B5,O-3353E5EFA8,equipe reportada em ranking,OBS-B560FD234774,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-6B0A7D23EF4C,P-3BD96FC61D,O-90C74DC12F,equipe reportada em ranking,OBS-46144AD750F2,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-BA3D38FB49AE,P-F5CBF048BC,O-56F8E1A921,equipe reportada em ranking,OBS-4F3BAD0896B3,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-143B146E9C41,P-257DFC4525,O-3353E5EFA8,equipe reportada em ranking,OBS-E6D8DF2B357E,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-F3B0D4DD3B07,P-B21F0B2CD2,O-4C7396A559,equipe reportada em ranking,OBS-A5A49D2D1D22,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-8D0B7467F5A3,P-C063B72264,O-E342FD4ABA,equipe reportada em ranking,OBS-61DA954BC3ED,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EAD74F585008,P-32E964D2C4,O-0BC22BC2AA,equipe reportada em ranking,OBS-45D404AD9760,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EA6A01A6A262,P-85DEB2A989,O-26B4878125,equipe reportada em ranking,OBS-3014C3980D48,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-DF3573849328,P-C186EA66C2,O-480EB0413F,equipe reportada em ranking,OBS-B64382772571,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-675F71450853,P-F3ACCDDB25,O-85B44DC992,equipe reportada em ranking,OBS-75F30B79FA4F,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EC3F2D2A64AD,P-7442223468,O-880F60FD9B,equipe reportada em ranking,OBS-53D1B8F4EB87,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-212435390639,P-3584CFDFB9,O-C89C1D7CDD,equipe reportada em ranking,OBS-2E5C066A8455,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-C81F10C43AB1,P-85236EAB05,O-75A4FD90CA,equipe reportada em ranking,OBS-462816E89146,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-4E4266CF748F,P-C5B4FA9DC8,O-8430F11A12,equipe reportada em ranking,OBS-8CAAE4860B0A,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-3724DE23BA4A,P-49B04619C8,O-AA7D3EA9BD,equipe reportada em ranking,OBS-22BCD9E2414B,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-F48AC88F052B,P-C6D75967AB,O-66831601F4,equipe reportada em ranking,OBS-20439DEEC2BA,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-82F563CB7CAB,P-4B4D7256BA,O-E342FD4ABA,equipe reportada em ranking,OBS-72FA71F5FF97,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-5BFA7FEA8607,P-84285E7FDC,O-9A319FE4C5,equipe reportada em ranking,OBS-3735EA07E09B,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-4875C7E313F7,P-119DA4473D,O-0BC22BC2AA,equipe reportada em ranking,OBS-9BBBF2EA6BAF,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-8F5C20016306,P-04C0280CD3,O-23BFC4967C,equipe reportada em ranking,OBS-DF512F7BE8D1,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-9C72C9D81B08,P-FD07745122,O-73C4CF05AE,equipe reportada em ranking,OBS-6F9FA6A1B5F8,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-F0AB9415CDF6,P-19A3880C18,O-874C6E1C86,equipe reportada em ranking,OBS-6A32E3D5A7DE,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-ABF25DAF7F0F,P-122DF0F356,O-8C4233D2A9,equipe reportada em ranking,OBS-648F359482D1,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-CFFF7D79A8ED,P-CEB556A565,O-FA006FCCC5,equipe reportada em ranking,OBS-F81CACD8D5D2,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-6330CD772D36,P-B8A6609A25,O-0BC22BC2AA,equipe reportada em ranking,OBS-E7957471B348,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-311F484B7900,P-4964218F10,O-146207EFC3,equipe reportada em ranking,OBS-CFD39BDDB681,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-E472E1317232,P-4B248C632B,O-0BC22BC2AA,equipe reportada em ranking,OBS-15A276AB27F5,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-A3B08EF4B03C,P-0C49D4E91A,O-146207EFC3,equipe reportada em ranking,OBS-3408A0E53411,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EC7FDCF93F93,P-32916A5AF0,O-2DA4152664,equipe reportada em ranking,OBS-8BEDA59660A9,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-9D855F1EAFE7,P-9F11F01914,O-76C2AE08F5,equipe reportada em ranking,OBS-75383C4D6ABD,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-AB03A7935368,P-4675B56260,O-848B855971,equipe reportada em ranking,OBS-C458931A9F99,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-13F567B06C8A,P-DDB86E6E85,O-647474823F,equipe reportada em ranking,OBS-9212BACD9E30,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-62CC0BEA7D9E,P-34D4518CCA,O-76C2AE08F5,equipe reportada em ranking,OBS-0D935EE91816,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-98A9F265CC63,P-A7B3733A22,O-42494A9687,equipe reportada em ranking,OBS-58C9838B1657,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-D65E7C6824D3,P-04E64BF228,O-DD30C750AE,equipe reportada em ranking,OBS-B18B8A0485C7,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-5A16255078B8,P-F38EC4B288,O-6EB4A5D648,equipe reportada em ranking,OBS-CE9B4058C3D5,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-7A38BC0F4C87,P-C626E2F283,O-213FE8749A,equipe reportada em ranking,OBS-43C8290000D5,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-23009D72EE2F,P-14FB0D5355,O-90C74DC12F,equipe reportada em ranking,OBS-A64D2A3C54D3,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-8605AC2E98FD,P-DE7EEF0F14,O-DEF073BE46,equipe reportada em ranking,OBS-130C5DF1E1FD,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-0499648F301E,P-1B2726C256,O-0BC22BC2AA,equipe reportada em ranking,OBS-40CBDCC9A183,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-E5F30B11D318,P-282E0CB7F5,O-29BF4F0705,equipe reportada em ranking,OBS-353B14BE5299,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-1BF51B65C976,P-3A366CE44C,O-6DB95B8CF1,equipe reportada em ranking,OBS-F72D918F8A01,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-7460F152080E,P-0863BF4B0F,O-3D27778EE1,equipe reportada em ranking,OBS-794275ACAC02,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-F4B03DE1370C,P-8BA80EED6A,O-0258152AD9,equipe reportada em ranking,OBS-935DA7F92FC7,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-A270BF905AE5,P-269A26A1D9,O-B6BE083DDC,equipe reportada em ranking,OBS-8CC6A5625760,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-E1E6FE33BD2E,P-1599542AE2,O-8430F11A12,equipe reportada em ranking,OBS-F1ECC1FA9E79,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-90C5B74D2111,P-72F24A544E,O-EBC89E66A5,equipe reportada em ranking,OBS-B76607896E01,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-3CFA0E27DCFD,P-D3073BA784,O-F007C3F738,equipe reportada em ranking,OBS-FA9C335BBF41,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-76F198EB0B8A,P-80463AB749,O-126DBFD8F3,equipe reportada em ranking,OBS-947708F23A3F,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EB8D9D0E8BE4,P-7A35BEAC3B,O-76C2AE08F5,equipe reportada em ranking,OBS-66C904D5D4F3,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-AD94168047CE,P-CDA4949E50,O-647474823F,equipe reportada em ranking,OBS-4344EC8D5A84,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-1624298E3A03,P-81EFC80345,O-2DA4152664,equipe reportada em ranking,OBS-281003DEAB67,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-B1AB000B2F07,P-C9F333C721,O-292A41D4F3,equipe reportada em ranking,OBS-899A17AA8023,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-FE6F048DEAA2,P-CFB73E9C70,O-3792D4239D,equipe reportada em ranking,OBS-1BC83D9246C1,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-F7B0B3A47CC4,P-A20A45C082,O-3BAB7DCF3A,equipe reportada em ranking,OBS-5B01BEC2B544,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-E934D829C45D,P-C842F355C8,O-D5BD02D597,equipe reportada em ranking,OBS-7419AE5926DE,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-9D6202609B7D,P-33E7F3BB04,O-913A200D60,equipe reportada em ranking,OBS-D0477B83C454,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-50BF27483346,P-0C15C27538,O-895A621498,equipe reportada em ranking,OBS-BA8149C429B2,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-1CC77AF3A139,P-5B2CB35BBC,O-D617C21F0F,equipe reportada em ranking,OBS-E31B129B9050,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-EB723D4B3DD0,P-39FA819931,O-BF434FF89C,equipe reportada em ranking,OBS-FAB3BE6FFD6B,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-D6A56394EA7C,P-5315AF0D80,O-78671F3BD6,equipe reportada em ranking,OBS-A1220E406A33,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-D169AEDC5231,P-3A6A9355A5,O-76C2AE08F5,equipe reportada em ranking,OBS-FB014427A00D,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-7005F0ABB28D,P-92C9A02F64,O-2DA4152664,equipe reportada em ranking,OBS-365DDB7111EC,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-35CC41024826,P-9DA7F1CD86,O-29BF4F0705,equipe reportada em ranking,OBS-D531F11A12DB,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-4CAB5505E91A,P-BD0754DD6B,O-4C7396A559,equipe reportada em ranking,OBS-87148BA35042,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-A3395FEA1B5A,P-30543AF452,O-C8F5F8B970,equipe reportada em ranking,OBS-8EEB3A718C48,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-0D7BAAA0D19E,P-4888A7EBF7,O-5F6F177EE8,equipe reportada em ranking,OBS-EC673B919C22,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-259D70C4793F,P-72CF4130D1,O-647474823F,equipe reportada em ranking,OBS-11F399396424,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-28FF5E6B7C91,P-03F07FB129,O-D5DD37B38B,equipe reportada em ranking,OBS-3BFB52364760,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-368755EB7B13,P-0DC0595DAC,O-33F89A7E99,equipe reportada em ranking,OBS-0DC394C0AF02,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
AFF-BB9AA2FBEF82,P-DEA6D4A674,O-42494A9687,equipe reportada em ranking,OBS-9B91C7D1CF8D,,,observação pontual,"Não é prova de filiação histórica, professor ou concessão de faixa."
