person_id,full_name,nickname,country,team,entity_status,lineage_status,created_from,created_on,notes,original_sheet,original_row
P0095,Cristian Fogaccia,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,68
P0214,Cássio Felipe Costa,Laranjinha,,Six Blades,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,69
P0211,César Lima,,,Roger Gracie Academy,Perfil com relação apoiada,Professor / treinador,Historical Lineage Research v0.6,2026-07-05,,Pessoas,70
P0165,Cícero Costha,,,Projeto Social Lutando Pelo Bem,Perfil com relação apoiada,Mestre / treinador,Historical Lineage Research v0.6,2026-07-05,,Pessoas,71
P0392,DC Maxwell,,,Ribeiro Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,72
P0034,Daniel Amabile,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,73
P0059,Daniel Nogueira,Cabelinho,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,74
P0262,Daniel Sathler,,,Atos,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,75
P0390,Darragh O’Conaill,,,Ribeiro Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,76
P0329,Davi Cabral,,,GFTeam,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,77
P0149,David Bernacca,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,78
P0049,David Dimopoulos Said,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,79
P0008,Demian Maia,,Brasil,Alliance / Brasa / Demian Maia Jiu-Jitsu,Validado,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,Declaração de Demian e lista de Fábio confirmam a relação.,Pessoas,80
P0416,Denny Prokopos,,Estados Unidos,10th Planet Jiu-Jitsu,Ativo ou histórico — em curadoria,Faixa-preta / professor,Historical Lineage Research v0.6,2026-07-05,Incluído na expansão global v0.6; relação de graduação vinculada à fonte cadastrada.,Pessoas,81
P0368,Diego “Pato” Oliveira,,,Projeto Social Lutando Pelo Bem,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,82
P0152,Dillon Danis,,,Marcelo Garcia Jiu-Jitsu,Perfil mínimo — promoção publicada,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,Promovido à faixa-preta por Marcelo Garcia no mesmo registro de abril de 2015; completar biografia com fonte própria.,Pessoas,83
P0056,Dimitrius Souza,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,84
P0288,Diogo Reis,,,Melqui Galvão,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,85
P0190,Dominyka Obelenyte,,,Marcelo Garcia Jiu-Jitsu,Perfil com relação apoiada,Atleta / professora,Historical Lineage Research v0.6,2026-07-05,,Pessoas,86
P0293,Eddie Bravo,,Estados Unidos,10th Planet Jiu-Jitsu,Perfil com relação apoiada,Fundador / mestre,Historical Lineage Research v0.6,2026-07-05,Fundador da 10th Planet; relação de faixa-preta sob Jean Jacques Machado documentada pela 10th Planet.,Pessoas,87
P0093,Edson Costa,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,88
P0098,Edson Oliveira,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,89
P0106,Eduard Lisboa,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,90
P0031,Eduardo Bordim,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,91
P0025,Eduardo Miranda,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,92
P0052,Eduardo Moura,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,93
P0017,Eduardo Telles,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,94
P0377,Edwin Najmi,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,95
P0314,Emilly Alves Vasconcelos,,,Atos Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,96
P0228,Emyr Bussade,Shark,,American Top Team,Perfil com relação apoiada,Mestre / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,97
P0295,Eric Ramey,,Estados Unidos,10th Planet Thousand Oaks,Perfil com relação apoiada,Mestre / treinador,Historical Lineage Research v0.6,2026-07-05,A página oficial da 10th Planet identifica-o como faixa-preta de segundo grau sob Eddie Bravo.,Pessoas,98
P0222,Erich Munis,,,Dream Art,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,99
P0030,Fabbio Passos,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,100
P0360,Fabiano “Pega Leve” Scherner,,,Brazilian Top Team,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,101
P0080,Fabio Caloi,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,102
P0032,Fabio Romão,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,103
P0058,Fabio Suzuki,Bolivia,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,104
P0287,Fabricio Andrey,Hokage,,Melqui Galvão,Perfil a pesquisar,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,105
P0230,Fabrício Camões,Morango,,Gracie Humaitá,Perfil com relação apoiada,Mestre / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,106
P0210,Faris Ben-Lamkadem,,,Roger Gracie Academy,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,107
P0389,Felipe Costa,,,Six Blades Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,108
P0103,Felipe Nacib,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,109
P0041,Felipe Pacces,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,110
P0178,Felipe Pena,Preguiça,,FP Team / Gracie Barra,Perfil com relação apoiada,Atleta / professor,Historical Lineage Research v0.6,2026-07-05,,Pessoas,111
P0157,Fernando 'Tererê' Augusto,Tererê,,TT / projeto social,Perfil mínimo,Mestre / nó de origem,Historical Lineage Research v0.6,2026-07-05,,Pessoas,112
P0119,Fernando Almeida,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,113
P0028,Fernando Di Pierro,Soluço,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,114
P0086,Fernando Kurayama,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,115
P0099,Fernando Reis,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,116
P0284,Ffion Davies,,,Wales / independent,Perfil a pesquisar,Atleta / professora,Historical Lineage Research v0.6,2026-07-05,,Pessoas,117
P0064,Filipe Sagat,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,118
P0111,Flavio Junqueira,,,Alliance / vínculo de formação citado por Fábio Gurgel,Perfil mínimo — biografia pendente,Faixa-preta formado,Historical Lineage Research v0.6,2026-07-05,"Relação de faixa-preta confirmada por lista do professor; completar país, período, equipe e biografia com fonte independente.",Pessoas,119
P0395,Flávio Almeida,,,Gracie Barra,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,120
P0176,Franciele Nascimento,,,Alliance / Norte-Nordeste,Perfil com relação apoiada,Atleta / professora,Historical Lineage Research v0.6,2026-07-05,,Pessoas,121
P0310,Frank Barca,,,10th Planet Jiu-Jitsu,Perfil com relação apoiada,Faixa-preta pesquisado,Historical Lineage Research v0.6,2026-07-05,Registro criado na expansão global v0.5. Relação publicada apenas com fonte e nível de evidência.,Pessoas,122
