observation_id,person_id,source_id,source_url,entity,observation_type,belt_reported,division,discipline,gender,ranking_position_display,points,organization_name_as_reported,source_last_update,captured_on,verification_label,lineage_status,notes
OBS-787CE4A830E5,P-B0C690D854,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,11,413.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-3BA1948467BD,P-77A1C6D466,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,12,412.5,CheckMat,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-129B0E5A83F8,P-F2911B21F3,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,13,409.0,Team 6 BJJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-F3D69C6777B3,P-76C0AB052E,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,14,391.0,Inevat Brazilian Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2672533D5BAA,P-07E1749BE7,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,15,386.0,Alliance SP,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-A3F4C536E4AB,P-7C83A1EBE5,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,16,348.5,Soldiers Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-C02E4B22CF5E,P-D20FF0F282,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,17,342.0,Marcio Andre Jiu-Jitsu Brasil,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2B4708001A9C,P-3BB4AE1545,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,18,330.0,Team 6 BJJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2EE9F6148EC3,P-EF572619D0,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,19,324.0,CheckMat International,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-0A99A9630CB6,P-5E274D4B46,SRC-IBJJF-ADULT-BLACK-GI-M-P2,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=2,IBJJF,ranking oficial,preta,adulto,gi,masculino,20,304.5,CheckMat USA,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-75F95ECAD1B5,P-B82D12DC34,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,21,299.5,Atos Jiu Jitsu USA,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-0CBF83EB31BE,P-426893B1D5,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,22,294.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2C438BC03765,P-282F189BB0,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,23,292.5,Alliance Porto Alegre,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-D307655E877E,P-92B82F7D67,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,24,288.0,Marcio Andre Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-458E939CEE7F,P-B00629D7E0,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,25,268.0,Brea Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-7E48068DE51B,P-9AB1445D9B,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,26,254.5,Toronto BJJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-79E425DCD821,P-D93B1468AD,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,27,232.0,Carreira Team International Uk,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-8C848B6FDA67,P-B7A5D3B74B,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,28,214.0,Soldiers Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-8EDFA8A924FA,P-BD227BC8FF,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,29,212.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-B560FD234774,P-136B8222B5,SRC-IBJJF-ADULT-BLACK-GI-M-P3,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=3,IBJJF,ranking oficial,preta,adulto,gi,masculino,30,210.0,Inevat Brazilian Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-46144AD750F2,P-3BD96FC61D,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,31,206.0,Six Blades Jiu-Jitsu Fort Worth - Team Marra,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-4F3BAD0896B3,P-F5CBF048BC,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,32,205.5,Soldiers Jiu-Jitsu,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-E6D8DF2B357E,P-257DFC4525,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,33,202.5,Inevat Brazilian Jiu-Jitsu,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-A5A49D2D1D22,P-B21F0B2CD2,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,34,199.0,CheckMat International,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-61DA954BC3ED,P-C063B72264,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,35,199.0,Alliance JJ,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-45D404AD9760,P-32E964D2C4,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,36,197.0,AOJ,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-3014C3980D48,P-85DEB2A989,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,37,192.5,Renzo Gracie Orlando,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-B64382772571,P-C186EA66C2,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,38,187.5,Rodrigo Pinheiro BJJ,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-75F30B79FA4F,P-F3ACCDDB25,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,39,185.0,Action & Reaction MMA Toronto,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-53D1B8F4EB87,P-7442223468,SRC-IBJJF-ADULT-BLACK-GI-M-P4,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=4,IBJJF,ranking oficial,preta,adulto,gi,masculino,40,181.5,GFTeam / Orlando Jr,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-2E5C066A8455,P-3584CFDFB9,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,42,180.5,Six Blades Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-462816E89146,P-85236EAB05,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,43,179.5,Six Blades Jiu-Jitsu - Brasil,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-8CAAE4860B0A,P-C5B4FA9DC8,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,44,179.0,Marcio Andre Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-22BCD9E2414B,P-49B04619C8,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,45,177.0,Alliance San Diego,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-20439DEEC2BA,P-C6D75967AB,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,46,175.5,Campeão United Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-72FA71F5FF97,P-4B4D7256BA,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,47,174.0,Alliance JJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-3735EA07E09B,P-84285E7FDC,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,48,173.0,Outer Heaven,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-9BBBF2EA6BAF,P-119DA4473D,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,49,170.0,AOJ,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-DF512F7BE8D1,P-04C0280CD3,SRC-IBJJF-ADULT-BLACK-GI-M-P5,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=5,IBJJF,ranking oficial,preta,adulto,gi,masculino,50,169.5,Gregor Gracie Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-6F9FA6A1B5F8,P-FD07745122,SRC-IBJJF-ADULT-BLACK-GI-M-P6,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=male&filters%5Bs%5D=ranking-geral-gi&page=6,IBJJF,ranking oficial,preta,adulto,gi,masculino,51,164.5,ZR Team Pernambuco,2026-06-17,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
OBS-6A32E3D5A7DE,P-19A3880C18,SRC-IBJJF-ADULT-BLACK-GI-F-P1,https://ibjjf.com/2026-athletes-ranking?filters%5Bage_division%5D=adult&filters%5Bbelt%5D=black&filters%5Bgender%5D=female&filters%5Bs%5D=ranking-geral-gi,IBJJF,ranking oficial,preta,adulto,gi,feminino,1,1933.5,Infight Jiu-Jitsu,2026-07-01,2026-07-05,observação competitiva oficial,não inferir a partir do ranking,"A fonte registra nome, faixa/filtro, equipe e pontos; não registra quem concedeu a faixa-preta."
